Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
Sanders402,29,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
JaybryH,43,92,N+,DISAGREEMENT,SUBJECTIVE,NONIRONIC
conniel_green,102,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
SwagTronUSA,5547,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
bemusers,34,94,NEU,DISAGREEMENT,OBJECTIVE,NONIRONIC
Zorkyrie,1590,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
AaronRFernandes,35863,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
kjmcinnis5,27,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
abhworthington,843,91,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
_INBTS,238,97,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
Real_Infinity95,1972,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
s_goldeffect,43,90,P,AGREEMENT,SUBJECTIVE,IRONIC
