Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
Movie_Geek_Feed,368,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
sis_soc,205,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
SimeonKimberley,158,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
yeahmateitsme,34,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
AnnDmakeup,131,94,P+,DISAGREEMENT,SUBJECTIVE,NONIRONIC
guiguckert,1153,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
jontait42,1162,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
JellyTBeagle,280,94,NEU,DISAGREEMENT,OBJECTIVE,NONIRONIC
iamStrip,2162,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
twickme222,7,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
RoTreg,392,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
boogiewitstu,94,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
GunPussyOnTheTL,204,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
becky_griffith,215,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
neorvng,15888,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
okaywowstop,551,97,P,AGREEMENT,OBJECTIVE,NONIRONIC
lesegokgaladi,831,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
tdclancy,460,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
HurriCap,5743,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
Imnotfromsparks,136,98,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
okbelli,267,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
__kingnetta,5041,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
imaginationkim,66,94,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
MalaciaJenkins,10,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC
kblitte,3133,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
ironclad1609,165,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
natjarv,6266,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
DustyFnMac,39,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
drysink,145,98,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
aavalil,93,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
FarpointCon,1396,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
huesiemama,1141,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
ChrisTheGreat02,3028,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
krysta_everett,44,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
itsmeyuana,3675,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
All4Spite,449,94,N,DISAGREEMENT,OBJECTIVE,NONIRONIC
samanthabisogno,569,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
Spoileerr,31,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
ChrisChambie,69,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
alaaalshealla,578,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
juany7988,69,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
