Username,Followers,Score_tag,Tweet
sharpalright,920,NONE,"""None"""
twerk4horchata,307,NONE,"""None"""
carolsvlkyrie,244,P,"""None"""
fuckusernamejor,1400,N,"""None"""
hadaseee,1654,P,"""None"""
glossobi,190,P,"""None"""
th3Varsity,12,N,"""None"""
licamele,631,NONE,"""None"""
adelodun01,3264,N+,"""None"""
Ren_bri,226,P,"""None"""
whaddupbaedah,50,P+,"""None"""
VacatureWerk,26328,NONE,"""None"""
nicky_read1,138,N+,"""None"""
chally11697947,43,NONE,"""None"""
AndrewLipham19,0,N,"""None"""
Kathrynbee12,818,NEU,"""None"""
dropthesurnames,485,P,"""None"""
kay_a_lexx,340,N,"""None"""
yung_mamii210,338,NONE,"""None"""
RStaloff89,226,NONE,"""None"""
maryammvm_,380,P,"""None"""
ParissRain,267,P+,"""None"""
gothhooters,66,P,"""None"""
estheruzokwe,243,P,"""None"""
amsmadwoman,2766,NONE,"""None"""
AndrewRDudley,283,NONE,"""None"""
sheisladon,1440,NONE,"""None"""
_LowkeyLina,179,NONE,"""None"""
jilevin,608833,P,"""None"""
BTOzuna,406,NEU,"""None"""
BiboAlPunto1,117,NONE,"""None"""
bbcsbitch,706,NONE,"""None"""
AugustadSays,91,NONE,"""None"""
NOTREDAMENO1,806,N,"""None"""
Schneider_CM,7161,N,"""None"""
MarcMcD,624,N,"""None"""
knots_86,114,NONE,"""None"""
jjuston,773,NONE,"""None"""
barstoolsports,1698842,N,"""None"""
Lenin_G18,301,NONE,"""None"""
THEformerspig22,47,NONE,"""None"""
facegrace62,65,NONE,"""None"""
FilledToTheBREM,205,N+,"""None"""
AlexRDavis,206,N+,"""None"""
kagamiryuko,84,NONE,"""None"""
_DanielSinclair,4842,NONE,"""None"""
10KK763,123,NONE,"""None"""
yungsour213,90,N,"""None"""
azktsuj,1339,P+,"""None"""
BradWoodle,192,NONE,"""None"""
mao_0k,502,NONE,"""None"""
facegrace62,65,P,"""None"""
_Blondiieeee,3097,P+,"""None"""
kiddington365,572,P,"""None"""
manjirevengers,254,NONE,"""None"""
