Username,Followers,Score_tag
BAMN89,668,NONE
AbilesAngelina,174,P
djdumont_20,170,NONE
lizdobby90,598,P+
sebaaide,1212,N
fennywap_,581,NONE
Andrew1TM,37,N
BrittCranston,1959,NONE
dryflyelk,1331,NONE
kirstiekirstie_,406,P
COUGFANcom,14706,NONE
BillKn0wsBest,37,N+
Vthota111,4575,P
_RickSmoove,4508,NONE
DB_healthyimage,1033,P+
ADyerSituation1,514,P
AlaNola3188,17,N
SportNewsJunkie,1188,NONE
H0SE0KED,33,NONE
Littlrandomgirl,541,NONE
KayPee_16,549,P
v1sh3z,86,N
Sphe_Mkhizee,3520,N
RonnieCasaii,291,NONE
Vthota111,4575,NONE
Filyy_,404,NONE
BnCtrKiki,27,N
v1sh3z,86,N
amsmadwoman,2766,NEU
labor4christ,248,P
EllenBarkin,196359,N
imanikardashh,810,NONE
wubizzle,41,P
goldenkiwi21151,115,NONE
37CrookshankAve,1288,NONE
disarmonia,2373,N
GretaSwift888,1458,N
69playadelcarme,0,NONE
TatiannaAnneJ,679,P
jdav2is,394,NONE
disarmonia,2373,N+
DasJudan,38,N+
tonyquartararo,2568,P
TheBucket015,198,NONE
msorvam,389,NEU
billiejeanss,1748,NONE
intothesunagain,37,NONE
Raiy_rice,11,P
BCase43,299,N
Terry_NRT,1389,NONE
ratedc87,132,NONE
psychotron582,18,N
jacquelinetaye,201,NONE
teeveebeat,590,NONE
amsmadwoman,2766,P
nicolemichele5,1382,P+
JoeSignorello3,150,P+
tat_targaryen,1582,P
cameronjameson1,426,NONE
AugustadSays,91,NONE
ImSoWeTodiT,0,NONE
michaeldwalker3,90,N
Iam360WISE,102348,NONE
tkaraborni,558,P
HouseOfSparky,13201,NONE
BurrisConnor,832,P+
marcosarellano,58,P
ARLISSFAN,1286,P
spaceleena,141,P
hellaSwankky,1925,NONE
JakeWallman__,1827,NONE
tiredrue,2691,NONE
_LoQui_,604,P
KMehrabianCCM,4631,NONE
wonderyonce,326,N+
GravityConstant,181,N+
Clemfield2622,104,P
CAPEUSA,8482,P
scooperpr,1032,NONE
DJ_HollyGrove,8830,NONE
ccoouurrttooooo,24,NEU
MichaelSKNeel,95,NONE
notsosmallmike,70,NONE
A_RealHippie,1264,NONE
justralph23,799,NONE
PackersBurner,260,P
Daniellesssssss,148,NONE
TylerGamber,212,NONE
tylerseuphoria,1624,P
Hmmm37839943,32,P
WtfDowi,543,NONE
Elizshuanet,788,P
YoungBrothaOtis,1224,N+
axeelfacundo,109,P
MsRethaJones,1399,P
DavidY31,2,NONE
AYOArielleGrace,802,NONE
dontfeedphil898,173,N
ScubaSteve425,128,P
Leash_Canada,65,N
JwTanner2018,171,P+
SandraRGonzales,139,P
sunshinelinaa,177,N+
Renujan16,84,NONE
wittytag2,809,N
CODYTHRICE,216,NONE
MaryJanekeao,292,NONE
lastPcapturion,352,P
imbackintherain,521,N
ShadeRenee,1077,NONE
KennieJD,18172,P
Twinwar,31,P
JwTanner2018,171,N
Verte_Fleche,9,NONE
QuintinMarcell,4923,N
HailHydra1237,159,N+
JacksonAugust,34,NONE
caitlinrraine,2033,NONE
es2audition,0,P
pabl3te,566,N
DeaconJohnwell,614,N
RiderCamden,242,NONE
Cadriel_,524,N+
alfsgirl,780,NONE
murijlo,351,N+
Chancellor_May,3146,NONE
ghostinthewind3,48,NONE
1776Yankee1,1062,N
Neil50009405,17,NONE
hkb73,4673,N
BASlCBELLA,1543,P
JwTanner2018,171,NONE
ComicDaveHanson,848,N
xalleyajeaan,698,P
mitchdcohen,1577,NONE
tina_banjo,315,P
morehockeystats,610,N
spiderdobrik,623,P
RickKarle,21602,P+
maia_boo,503,N+
StonesStoner,124,NONE
PerfectUnion87,22,P
stepanmella,1285,N+
clemsontyger,346,NONE
adotmerch,155,P
SabrinaChatt,393,P
KayTravel,607,P
DenisePritche10,1228,NONE
sujataday,10249,N
Conversator,197,P
TableGnome,29,P
moon_bbq,44,NONE
collegead,21326,N
hxnji,405,NONE
_kaixvi_,70,P
hxnji,405,NONE
_vanessa_tricia,1059,P
iamBiggers,295,N+
Steph_C__,1016,NONE
fanvids,136,P
smarginatura,620,NONE
jerry48444,220,N
QueenZai_,1188,P
_AsianTaco_,194,P+
SlickCold,149,NONE
redzupp,1075,P
iseehomophobia,0,N
cwwinc,567,P
Gingemaster3000,277,NONE
VacatureWerk,26328,NONE
CaleMaloney,450,NONE
dumbtyght,1216,P
anplushie,493,NEU
TheWesty_,666,P+
sportingnews,222621,P
Gregoriancant,723,N
KayDMusiQ,1283,N
SculleryUnion,183,NONE
PatrickSportsTV,2518,N+
DamajeM,743,N
SeanMah26171702,101,P
NattyD13,1753,NONE
shescreamsjas,2412,NONE
iseehomophobia,0,P
CalAggieAlumni,2998,N+
naborgie,12,NONE
versaceschanel,4042,P+
Hans_Bubby,101,NONE
