Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
ishcamnio,22,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
Redhead_lilmiss,36,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
rachelsklar,60933,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""What the Game of Thrones Finale Teaches Us About White Saviors https://t.co/T5pR3yox3p via @TheRoot"""
S_v_Sanchez,373,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @antizyrus: This shot of Drogon behind Dany #GOT https://t.co/bAol0dwOZ8"""
Utchdubby,8,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @3succulent_hams: @mskenziespears He knew Bran brought his own chair."""
mustygyal,1313,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @springsansa: Stark wolves, Tully scales, Weirwood leaves, Sansa IS the North https://t.co/bz2Pd8DfQC"""
alakeott,111,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
HooperOD,300,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
11JRMario,115,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @springsansa: Stark wolves, Tully scales, Weirwood leaves, Sansa IS the North https://t.co/bz2Pd8DfQC"""
BaneleMag,796,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
sergiotuitero,63857,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @coeurdepierr3: @sergiotuitero Dr House
Black Mirror
Game of thrones"""
ActualGarbage19,3,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @DrNerdLove: ""What's west of Westeros?""
My wife: The Resteros"""
jdiannedotson,2865,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@FoldableHuman ""it's my own design"" during Bran's segment is chef's-kiss-perfect"""
slytherdean,4342,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @springsansa: Stark wolves, Tully scales, Weirwood leaves, Sansa IS the North https://t.co/bz2Pd8DfQC"""
antonio_idk,307,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @BrandoHD: Bran was the logical choice, Drogon burned the Iron Throne and Bran comes with his own seat."""
foredenia,212,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""daenerys could wash cersei"""
Gwenbillat,472,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
hananobied,843,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ladycerseis: cersei lannister knowing she is the last person who sat on the iron throne
https://t.co/ihePlovPMC"""
kawy,216,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
monsterbeers,287,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @SpexTacular1: Game of thrones Yorkshire style, When Lidl have a sale on loo rolls #GOT https://t.co/fHzb37u8GY"""
worstsdreams,281,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @Thrones_Memes: One second from every episode of Game of Thrones. https://t.co/SXfXqUacPy"""
Unknow36442448,67,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
lightingstorm19,1,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""@iHarshalWatts I hope drogon in the remake Burns both Sansa and Bron"""
AnaAmon,59,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @Thrones_Memes: The entire Game of Thrones fandom right now... https://t.co/GiJSwo0kWB"""
ahoylavs,1732,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @vegetableartist: me: fuck game of thrones this show is garbage i hate hbo

""sansa stark queen in the north""

me: https://t.co/CZJl3soByh"""
